Interval=	0.005 s
ExcelDateTime=	4.2844669800012722e+004	19/04/2017 16:04:30.721099
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Membrane Potential	Output Pulse
Range=	1000.0 mV	10.000 V
UnitName=	mV	*
TopValue=	99.5	*
BottomValue=	-99.4	*
624.465	-15.1	-0.000
624.47	-15.1	-0.000
624.475	-14.9	0.000
624.48	-15.0	-0.001
624.485	-15.1	0.000
624.49	-15.0	-0.001
624.495	-14.9	-0.000
624.5	-15.0	-0.001
624.505	-15.2	-0.000
624.51	-15.1	-0.001
624.515	-15.0	0.000
624.52	-15.0	-0.001
624.525	-15.2	-0.000
624.53	-15.1	-0.000
624.535	-14.9	-0.000
624.54	-15.0	0.000
624.545	-15.2	0.000
624.55	-15.1	-0.001
624.555	-14.9	-0.000
624.56	-15.0	0.000
624.565	-15.1	-0.000
624.57	-15.0	0.000
624.575	-14.9	0.000
624.58	-15.0	0.000
624.585	-15.1	0.000
624.59	-15.0	-0.000
624.595	-14.8	0.000
624.6	-14.9	0.000
624.605	-15.1	-0.000
624.61	-15.0	0.000
624.615	-14.8	-0.001
624.62	-14.9	0.000
624.625	-15.0	0.000
624.63	-14.9	-0.001
624.635	-14.8	0.000
624.64	-14.9	-0.001
624.645	-15.0	-0.000
624.65	-14.9	0.000
624.655	-14.8	0.000
624.66	-14.9	-0.001
624.665	-15.0	-0.000
624.67	-14.9	0.000
624.675	-14.8	0.000
624.68	-14.9	-0.001
624.685	-15.0	-0.000
624.69	-14.8	-0.000
624.695	-14.7	-0.000
624.7	-14.8	-0.001
624.705	-14.9	-0.000
624.71	-14.8	-0.000
624.715	-14.7	-0.000
624.72	-14.8	-0.001
624.725	-14.9	-0.000
624.73	-14.8	-0.000
624.735	-14.7	-0.000
624.74	-14.8	0.000
624.745	-14.8	-0.000
624.75	-14.7	-0.000
624.755	-14.6	-0.001
624.76	-14.7	-0.000
624.765	-14.8	-0.001
624.77	-14.7	0.000
624.775	-14.6	0.000
624.78	-14.7	-0.001
624.785	-14.8	-0.000
624.79	-14.7	-0.000
624.795	-14.6	-0.001
624.8	-14.7	-0.000
624.805	-14.8	-0.001
624.81	-14.7	0.000
624.815	-14.6	-0.001
624.82	-14.7	-0.000
624.825	-14.8	-0.000
624.83	-14.7	-0.001
624.835	-14.6	-0.001
624.84	-14.7	-0.001
624.845	-14.8	0.000
624.85	-14.7	-0.000
624.855	-14.6	-0.000
624.86	-14.7	-0.000
624.865	-14.8	0.000
624.87	-14.6	-0.001
624.875	-14.6	-0.001
624.88	-14.6	-0.000
624.885	-14.7	-0.000
624.89	-14.7	-0.000
624.895	-14.6	-0.000
624.9	-14.7	-0.001
624.905	-14.8	0.000
624.91	-14.6	-0.000
624.915	-14.5	-0.000
624.92	-14.6	-0.000
624.925	-14.8	-0.000
624.93	-14.7	0.000
624.935	-14.5	-0.000
624.94	-14.6	0.000
624.945	-14.7	-0.000
624.95	-14.6	-0.000
624.955	-14.5	-0.000
624.96	-14.6	-0.001
624.965	-14.7	-0.001
624.97	-14.6	-0.000
624.975	-14.5	0.000
624.98	-14.6	-0.001
624.985	-14.7	0.000
624.99	-14.6	-0.000
624.995	-14.5	-0.000
625	-14.6	0.000
625.005	-14.7	-0.000
625.01	-14.5	-0.000
625.015	-14.4	-0.001
625.02	-14.5	-0.000
625.025	-14.6	0.000
625.03	-14.5	-0.000
625.035	-14.4	-0.000
625.04	-14.5	-0.001
625.045	-14.6	-0.001
625.05	-14.5	-0.001
625.055	-14.4	-0.001
625.06	-14.5	-0.001
625.065	-14.6	-0.000
625.07	-14.5	-0.001
625.075	-14.4	-0.000
625.08	-14.5	-0.000
625.085	-14.6	0.000
625.09	-14.5	-0.000
625.095	-14.4	-0.000
625.1	-14.5	5.119
625.105	-14.6	-0.001
625.11	-14.5	-0.000
625.115	-14.4	0.000
625.12	-14.5	-0.000
625.125	-14.6	-0.000
625.13	-14.5	-0.000
625.135	-14.4	-0.000
625.14	-14.5	-0.001
625.145	-14.6	-0.001
625.15	-14.6	-0.000
625.155	-14.5	-0.000
625.16	-14.6	0.000
625.165	-14.7	-0.000
625.17	-14.6	0.000
625.175	-14.6	-0.001
625.18	-14.6	-0.000
625.185	-14.7	-0.001
625.19	-14.6	-0.000
625.195	-14.6	-0.000
625.2	-14.7	-0.001
625.205	-14.8	0.000
625.21	-14.8	0.000
625.215	-14.8	-0.000
625.22	-14.9	-0.001
625.225	-14.9	-0.000
625.23	-14.8	-0.001
625.235	-14.7	-0.000
625.24	-14.8	-0.001
625.245	-14.9	-0.001
625.25	-14.9	0.000
625.255	-14.8	0.000
625.26	-14.9	-0.000
625.265	-14.9	-0.001
625.27	-14.9	-0.000
625.275	-14.8	-0.000
625.28	-14.9	0.000
625.285	-15.0	0.000
625.29	-15.0	0.000
625.295	-14.9	-0.000
625.3	-15.0	-0.001
625.305	-15.1	-0.001
625.31	-15.0	-0.001
625.315	-15.0	-0.000
625.32	-15.1	-0.000
625.325	-15.1	-0.000
625.33	-15.0	-0.000
625.335	-15.0	0.000
625.34	-15.1	-0.000
625.345	-15.1	-0.000
625.35	-15.1	-0.001
625.355	-15.1	0.000
625.36	-15.2	-0.000
625.365	-15.3	-0.001
625.37	-15.1	0.000
625.375	-15.1	-0.001
625.38	-15.2	-0.000
625.385	-15.2	-0.000
625.39	-15.1	-0.000
625.395	-15.0	0.000
625.4	-15.1	-0.000
625.405	-15.2	0.000
625.41	-15.1	-0.001
625.415	-15.1	-0.000
625.42	-15.2	-0.001
625.425	-15.2	-0.001
625.43	-15.0	-0.000
625.435	-14.9	0.000
625.44	-15.0	0.000
625.445	-15.0	-0.001
625.45	-15.0	-0.001
625.455	-15.0	-0.000
625.46	-15.1	-0.000
625.465	-15.1	0.000
625.47	-15.0	0.000
625.475	-15.0	-0.000
625.48	-15.1	-0.000
625.485	-15.1	-0.001
625.49	-14.9	0.000
625.495	-14.9	-0.001
625.5	-15.0	-0.001
625.505	-15.0	-0.000
625.51	-14.9	-0.000
625.515	-14.9	-0.001
625.52	-15.0	-0.001
625.525	-15.0	-0.000
625.53	-14.9	-0.001
625.535	-14.9	-0.001
625.54	-14.9	-0.001
625.545	-14.9	-0.000
625.55	-14.9	0.000
625.555	-14.9	0.000
625.56	-15.0	0.000
625.565	-15.0	-0.001
625.57	-14.9	-0.001
625.575	-14.9	0.000
625.58	-15.0	-0.000
625.585	-15.0	-0.001
625.59	-14.8	-0.001
625.595	-14.8	-0.000
625.6	-14.9	-0.001
625.605	-14.9	-0.001
625.61	-14.8	-0.000
625.615	-14.8	-0.000
625.62	-14.9	-0.001
625.625	-14.9	-0.001
625.63	-14.8	0.000
625.635	-14.8	-0.001
625.64	-14.9	0.000
625.645	-14.8	-0.000
625.65	-14.7	-0.001
625.655	-14.7	-0.000
625.66	-14.8	0.000
625.665	-14.8	0.000
625.67	-14.7	-0.001
625.675	-14.7	-0.001
625.68	-14.8	-0.000
625.685	-14.8	0.000
625.69	-14.7	-0.001
625.695	-14.7	-0.000
625.7	-14.8	-0.000
625.705	-14.7	-0.000
625.71	-14.6	-0.001
625.715	-14.6	-0.000
625.72	-14.8	0.000
625.725	-14.8	0.000
625.73	-14.6	-0.001
625.735	-14.6	-0.001
625.74	-14.7	-0.001
625.745	-14.7	0.000
625.75	-14.6	0.000
625.755	-14.5	-0.001
625.76	-14.6	-0.000
625.765	-14.6	-0.001
625.77	-14.6	-0.001
625.775	-14.6	-0.000
625.78	-14.7	0.000
625.785	-14.7	-0.000
625.79	-14.6	-0.000
625.795	-14.6	0.000
625.8	-14.7	-0.000
625.805	-14.7	-0.000
625.81	-14.6	0.000
625.815	-14.6	0.000
625.82	-14.7	-0.000
625.825	-14.7	-0.001
625.83	-14.6	-0.000
625.835	-14.6	-0.001
625.84	-14.7	-0.001
625.845	-14.7	0.000
625.85	-14.6	-0.000
625.855	-14.7	0.000
625.86	-14.7	0.000
625.865	-14.7	0.000
625.87	-14.6	-0.001
625.875	-14.7	-0.000
625.88	-14.8	-0.001
625.885	-14.8	-0.000
625.89	-14.7	-0.000
625.895	-14.7	-0.000
625.9	-14.8	-0.000
625.905	-14.8	-0.000
625.91	-14.7	-0.000
625.915	-14.7	-0.000
625.92	-14.7	-0.000
625.925	-14.7	0.000
625.93	-14.6	-0.000
625.935	-14.7	-0.001
625.94	-14.8	-0.000
625.945	-14.8	-0.000
625.95	-14.7	-0.000
625.955	-14.7	0.000
625.96	-14.8	-0.001
625.965	-14.8	-0.000
625.97	-14.7	-0.000
625.975	-14.8	-0.001
625.98	-14.9	0.000
625.985	-14.9	-0.000
625.99	-14.8	0.000
625.995	-14.8	-0.000
626	-14.9	0.000
626.005	-14.9	-0.001
626.01	-14.8	-0.000
626.015	-14.8	-0.000
626.02	-14.9	-0.000
626.025	-14.9	-0.000
626.03	-14.8	-0.001
626.035	-14.9	-0.000
626.04	-15.0	-0.001
626.045	-14.9	0.000
626.05	-14.8	-0.001
626.055	-14.9	-0.001
626.06	-15.0	0.000
